Data Details,,,,,,,,,Levels of Location Strata,Levels of Business Sector Strata,ISIC Rev. 3.1 (http://unstats.un.org/unsd/cr/registry/regcst.asp?Cl=17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,Construction,,,,,"Wholesale and retail trade; repair of motor vehicles, motocyles and personal and household goods",,,,,,Hotels and restaurants,,,"Transport, storage and communications",,"Professional, scientific and technical activities",,,,,,,Others,,Additional
Angola,2010,2009,2007,3,6/2010 - 10/2010,Global,AFR,360,"Benguela (53), Huambo (17), Luanda (290)","Manufacturing (136), Other Services (163), Retail (61)",42,0,1,1,6,3,9,0,2,0,3,0,3,4,9,14,0,0,3,0,0,6,0,0,0,16,0,22,91,61,4,0,1,0,0,24,0,5,0,0,0,0,0,0,0,0,0,0,0,30
Angola,2024,2023,2021,4,05/2024 - 03/2025,Global,AFR,430,"Central (130), Greater Luanda (148), North (74), South-East-West (78)","Hotels (57), Manufacturing (93), Other Services (165), Retail (115)",16,1,0,2,4,0,6,2,11,0,1,1,3,7,1,17,0,0,1,1,0,14,1,4,8,3,9,14,46,115,9,0,0,3,0,57,43,0,0,5,5,3,2,0,4,7,0,1,3,0
Antigua and Barbuda,2010,2009,2007,1,5/2011 - 10/2011,Global,LAC,151,Entire Country (151),"Manufacturing (34), Services (117)",10,0,0,0,1,0,1,0,2,0,2,0,0,3,0,2,0,2,0,1,1,8,1,0,0,13,0,7,2,42,1,0,1,11,1,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2006,2005,2002,4,4/2006 - 9/2006,Global,LAC,1063,"Buenos Aires (666), Cordoba (128), Mendoza (128), Rosario (141)","Food (166), Garments (121), IT & IT Services (107), Machinery & Equipment (130), Rest of Universe (291), Retail (126), Textiles (122)",165,0,0,115,120,20,0,0,1,0,56,0,0,0,0,53,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414
Argentina,2010,2009,2007,5,4/2010 - 4/2011,Global,LAC,1054,"Buenos Aires (610), Chaco (72), Cordoba (125), Mendoza (118), Rosario (129)","Basic Metals/Fabricated Metals/Machinery & Equip. (200), Chemicals, Plastics & Rubber (162), Food (174), Other Manufacturing (108), Other Services (145), Retail (109), Textiles & Garments (156)",174,0,0,61,95,13,5,13,20,3,110,0,52,16,10,72,1,13,118,8,5,7,3,1,0,24,0,16,37,109,7,0,0,4,1,14,0,42,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2017,2016,2014,5,3/2017-3/2018,Global,LAC,991,"Buenos Aires (446), Cordoba (149), Mendoza (125), Rosario (153), Tucuman (118)","Food (230), Other Manufacturing (279), Other Services (224), Retail (117), Textiles & Garments (141)",230,0,0,67,74,8,7,14,12,0,37,0,37,11,3,50,0,9,52,22,2,8,7,0,0,39,0,42,81,117,19,0,0,4,0,21,0,18,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2002,2001,1998/1999,1,,Not Global,,107,Armenia (107),"Manufacturing (58), Services (49)",11,0,0,2,3,1,2,1,1,0,4,0,1,4,1,5,0,10,4,0,0,8,0,0,0,7,0,1,1,25,1,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2005,2004,2002,9,,Not Global,,287,"Aragatsotn (8), Ararat (10), Armavir (19), Gegarkunik (3), Kotaik (35), Lori (24), Shirak (6), Tavush (3), Yerevan (179)","Manufacturing (211), Services (76)",113,0,1,4,22,0,4,2,10,0,5,0,5,5,1,24,0,1,5,0,0,6,3,0,0,11,0,3,1,34,8,0,1,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2009,2007,2004,4,10/2008 - 2/2009,Global,ECA,374,"North (20), South-East (57), South-West (35), Yerevan (262)","Manufacturing (113), Other Services (138), Retail (123)",34,0,1,4,3,0,5,0,12,0,9,0,2,13,5,10,0,2,7,0,0,5,1,0,0,29,0,10,23,123,10,0,3,10,6,33,0,14,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2013,2011,2009,4,11/2012 - 7/2013,Global,ECA,360," North (17), South East (41), South West (26), Yerevan (276)","Manufacturing (111), Other Services (130), Retail (119)",23,0,2,2,6,2,4,1,17,0,7,0,4,11,2,12,0,1,9,0,0,7,1,0,0,28,0,12,21,119,7,0,0,9,6,35,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2020,2019,2017,3,12/2019 - 06/2020,Global,ECA,546,"Gyumri (49), Vanadzor (31), Yerevan (466)","Food (70), Other Manufacturing (205), Other Services (142), Retail (129)",70,0,1,12,9,3,3,7,31,0,10,0,23,26,5,20,2,14,9,0,0,25,5,0,0,29,0,14,10,129,3,0,1,7,2,62,0,14,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,2024,2023/2024,2021/2022,3,09/2024-01/2025,Global,ECA,375,"North (114), Rest of the Country (142), Yerevan (119)","Manufacturing (147), Other Services (143), Retail (85)",51,14,0,5,9,3,4,1,7,0,7,2,3,12,5,10,0,4,2,0,0,5,3,3,6,9,29,6,24,85,3,1,0,7,1,15,15,2,0,4,2,0,3,0,2,4,0,4,3,0
Austria,2021,2019/2020,2018/2019,3,10/2020 - 07/2021,Global,ECA,600,"Eastern (213), Southern (173), Western (214)","Food (51), Machinery & Equipment (33), Other Manufacturing (116), Other Services (320), Retail (80)",51,0,0,4,2,2,11,4,3,0,8,0,13,3,6,25,4,7,33,1,3,11,7,2,0,55,0,22,79,80,22,0,0,10,3,101,0,28,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,2002,2001,1998/1999,1,,Not Global,,135,Azerbaijan (135),"Manufacturing (40), Services (95)",20,0,0,1,1,1,0,0,1,0,2,0,1,6,0,0,0,2,3,0,0,1,1,0,0,25,0,5,13,34,2,0,1,5,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,2005,2004,2002,6,,Not Global,,291,"Absheron (229), Central Aran (1), North (16), North_WEST (3), South (9), West (33)","Manufacturing (183), Services (108)",85,0,0,34,0,2,0,0,0,0,3,0,4,4,21,0,0,3,23,0,0,3,1,0,0,31,0,7,14,34,6,1,1,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,2009,2007,2004,4,9/2008 - 2/2009,Global,ECA,380,"Aranski & Gorno-Shirvanski (60), Baku & Apsheronski (218), Giandja-Kazakhski & Sheki-Zakatalski (65), Lenkoranski & Kuba-Khachmazski (37)","Manufacturing (120), Other Services (140), Retail (120)",42,0,0,8,3,1,2,1,8,0,4,0,1,13,1,6,2,6,10,2,1,5,3,1,0,34,0,24,39,120,16,0,0,2,2,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,2013,2011,2009,4,7/2012 - 12/2013,Global,ECA,390,"Aranski & Gorno-Shirvanski (56), Baku & Apsheronski (227), Giandja-Kazakhski & Sheki-Zakatalski (66), Lenkoranski & Kuba-Khachmazski (41)","Manufacturing (121), Other Services (145), Retail (124)",46,0,0,3,3,0,3,1,10,0,6,0,9,20,1,1,0,3,6,0,2,6,1,0,0,39,0,22,21,124,19,0,0,5,4,31,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,2019,2019,2017,3,7/2019-03/2020,Global,ECA,225,"Baku & Absheron (186), Center (17), West (22)","Manufacturing (53), Other Services (114), Retail (58)",15,0,1,0,1,1,0,0,17,0,1,0,2,6,1,3,0,0,0,0,0,5,0,0,0,11,0,11,27,58,6,0,2,10,4,37,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,2024,2023/2024,2021/2023,3,08/2024-02/2025,Global,ECA,368,"Baku & Absheron (140), Center (Central Aran, Daghlig Shirvan, Guba-Khachmaz, Lankaran-Astara, Mil-Mughan) (112), West (Ganja-Dashkasan, Gazakh-Tovuz, Shaki-Zagatala,Naxá?van, ?irvan-salyan) (116)","Manufacturing (124), Other Services (113), Retail (131)",55,13,2,1,2,3,1,3,1,2,6,1,2,12,0,5,2,3,3,1,0,4,1,1,9,4,11,7,16,131,4,0,0,0,2,14,33,2,0,0,3,0,1,1,0,1,0,5,0,0
"Bahamas, The",2010,2009,2007,1,4/2011 - 7/2011,Global,LAC,150,Entire Country (150),"Manufacturing (42), Services (108)",20,0,0,0,2,0,1,0,1,0,6,0,0,4,0,3,0,0,0,0,2,3,0,0,0,25,0,4,3,27,1,3,0,6,1,33,0,4,0,0,0,0,0,0,0,0,0,0,0,1
Bahrain,2024,2023/2024,2021/2022,1,09/2024-01/2025,Global,MNA,150,Bahrain (150),"Manufacturing (47), Services (103)",6,0,0,1,2,0,0,0,1,0,1,0,6,7,7,5,0,2,1,0,1,5,1,1,12,0,7,7,14,27,1,1,0,5,1,7,6,1,0,6,1,1,3,1,1,1,0,0,0,0
Bangladesh,2007,2005/2006,2003/2004,6,1/2007 - 6/2007,Global,SAR,1504,"Barisal (80), Chittagong (236), Dhaka (827), Khulna (110), Rajshahi (125), Sylhet (126)","Chemicals & Chemical Products (83), Food (226), Garments (296), Leather Products (241), Machinery & Equipment & Electronics (149), Other Manufacturing (145), Other Services (67), Retail (136), Textiles (161)",218,0,1,268,189,241,3,2,12,3,148,0,14,33,11,35,11,47,42,1,6,7,0,0,0,2,0,10,27,42,2,1,0,2,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,69
Bangladesh,2013,2012,2010,4,4/2013 - 9/2013,Global,SAR,1442,"Chittagong (320), Dhaka (899), Khulna (110), Rajshahi (113)","Chemicals & Chemical Products (119), Food (166), Furniture (88), Garments (192), Leather Products (113), Motor Vehicles & Transport Equip. (33), Other Manufacturing (468), Other Services (141), Retail (122)",166,0,0,162,192,113,19,29,57,0,119,0,41,44,40,31,3,14,27,23,10,88,1,0,0,2,0,26,25,122,3,2,0,0,0,80,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,2022,2021/2022,2019/2020,8,03/2022 - 09/2022,Global,SAR,998,"Barishal (50), Chattogram (119), Cox's Bazar (78), Dhaka MA (253), Greater Dhaka (185), Khulna (105), Rajshahi (121), Sylhet (87)","Food (158), Garments (127), Hotels (121), Other Manufacturing (132), Other Services (203), Retail (130), Textiles (127)",158,0,3,127,127,8,5,4,1,0,3,11,8,24,7,24,0,7,13,0,2,0,12,0,4,0,0,13,43,130,12,2,0,8,3,121,75,30,1,4,0,0,0,0,0,0,0,8,0,0
Barbados,2010,2009,2007,1,4/2011 - 8/2011,Global,LAC,150,Entire Country (150),"Manufacturing (71), Services (79)",19,0,0,4,5,0,1,1,7,0,6,0,4,6,0,4,2,1,0,0,0,8,3,0,0,6,0,1,8,10,0,3,0,7,1,37,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,2023,2022/2023,2020/2021,1,06/2023 - 11/2023,Global,LAC,153,Barbados (153),"Manufacturing (63), Services (90)",7,6,0,3,4,0,2,0,12,0,1,0,5,4,4,2,0,2,1,0,0,3,7,0,3,1,8,7,7,27,2,0,0,4,0,4,13,0,2,2,4,1,2,0,0,1,0,0,2,0
Belarus,2002,2001,1998/1999,1,,Not Global,,182,Belarus (182),"Manufacturing (34), Services (148)",8,0,0,4,2,1,3,0,1,0,2,0,1,3,0,2,0,2,0,1,0,4,0,0,0,59,0,5,29,32,13,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,2005,2004,2002,6,,Not Global,,219,"Brestskaya (33), Gomelskaya (13), Grodnenskaya (12), Minskaya (117), Mogilevskaya (19), Vitebskaya (25)","Manufacturing (48), Services (171)",5,0,0,1,4,0,2,1,2,0,3,0,4,5,0,4,0,1,0,1,1,11,3,0,0,71,0,7,30,36,15,0,0,4,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,2008,2007,2004,7,4/2008 - 8/2008,Global,ECA,273,"Brestskaya (33), Gomelskaya (37), Grodnenskaya (51), Minsk (41), Minskaya (36), Mogilevskaya (38), Vitebskaya (37)","Manufacturing (104), Other Services (75), Retail (94)",16,0,0,10,14,1,7,1,7,0,6,0,7,7,1,10,0,0,5,0,1,9,2,0,0,18,0,5,30,94,6,0,0,6,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1
Belarus,2013,2011,2009,7,7/2012 - 8/2013,Global,ECA,360,"Brestskay (48), Gomelskay (43), Grodnenskaya (48), Minsk (109), Minskaya (44), Mogilevsk (35), Vitebskay (33)","Manufacturing (117), Other Services (119), Retail (124)",11,0,0,5,12,3,14,4,10,0,6,0,10,3,1,13,1,2,6,1,0,9,6,0,0,12,0,12,49,124,16,0,0,6,5,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,2018,2017,2015,5,10/2018-4/2019,Global,ECA,600,"Brestskaya, Grodnenskaya (121), Gomelskaya, Mogilevskaya (121), Minsk (122), Minskaya (118), Vitebskaya (118)","Food (103), Garments (81), Other Manufacturing (146), Other Services (147), Retail (123)",103,0,0,27,81,6,8,6,7,0,10,0,20,6,1,7,0,5,12,4,0,17,10,0,0,37,0,13,54,123,14,0,0,4,3,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,2020,2019,2017,3,11/2019 - 12/2020,Global,ECA,614,"Brussels-Capital Region (87), Flemish Region (326), Walloon Region (201)","Fabricated Metal Products (31), Food (80), Other Manufacturing (132), Other Services (245), Retail (126)",80,0,1,6,1,2,8,5,6,0,13,0,5,11,5,31,0,6,28,5,4,15,11,0,0,45,0,18,79,126,20,2,1,13,0,44,0,23,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,2024,2023,2021,3,02/2024 - 03/2025,Global,ECA,320,"Brussels-Capital Region (18), Flemish Region (250), Walloon Region (52)","Manufacturing (95), Other Services (166), Retail (59)",20,2,0,1,0,0,4,4,3,0,4,0,7,3,1,19,1,2,12,3,1,2,4,2,18,2,31,11,39,59,5,0,0,3,0,4,16,1,1,4,8,7,7,1,1,7,0,0,0,0
Belize,2010,2009,2007,1,4/2011 - 11/2011,Global,LAC,150,Entire Country (150),"Manufacturing (72), Services (78)",26,0,2,0,1,1,4,1,7,1,5,0,3,3,0,2,0,2,1,0,1,12,0,0,0,4,0,4,2,24,0,0,0,9,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,2009,2008,2006,2,5/2009 - 9/2009,Global,AFR,150,"Cotonou (129), Others (21)","Manufacturing (72), Services (78)",10,0,0,1,0,0,12,3,22,0,7,0,2,3,1,3,0,0,2,0,0,5,1,0,0,7,0,10,30,18,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Benin,2016,2015,2013,2,07/2016 - 10/2016,Global,AFR,150,"Atlantique, Borgou, Mono, OuÇmÇ (40), Littoral (110)","Manufacturing (70), Services (80)",17,0,0,1,0,0,2,0,19,0,10,0,2,2,2,4,0,1,1,0,0,9,0,0,0,10,0,13,33,13,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,2024,2023,2021,3,09/2024 -01/2025,Global,AFR,364,"Littoral (179), North: Alibori, Atacora, Borgou, Collines, and Donga (81), South: Atlantique, Couffo, Mono, Oueme, Plateau and Zou (104)","Manufacturing (72), Other Services (184), Retail (108)",17,0,0,1,2,0,4,0,7,1,4,1,3,5,7,3,0,0,3,1,0,13,0,0,7,10,8,13,37,108,4,2,0,6,0,36,21,1,6,3,4,4,10,0,3,2,1,2,4,0
Bhutan,2009,2008,2006,4,4/2009 - 6/2009,Global,SAR,250,"Gelephu/Sarpang (18), Phuentsholing (99), Samdrup Jongkhar (47), Thimphu/Paro (86)","Manufacturing (95), Services (155)",9,0,0,2,1,0,25,2,7,0,2,0,6,10,6,6,1,7,0,0,0,10,0,0,0,64,0,15,14,30,4,0,1,8,2,12,0,4,0,0,0,0,0,0,0,0,0,0,0,2
Bhutan,2015,2014,2012,4,5/2015 - 7/2015,Global,SAR,253,"Gelephu/Sarpang (21), Phuentsholing (61), Samdrup Jongkhar (42), Thimphu/Paro (129)","Food (8), Hospitality & Tourism (66), Other Manufacturing (75), Other Services (104)",8,0,0,4,0,0,16,2,16,0,0,0,2,13,3,6,0,2,0,0,0,10,1,0,0,43,0,17,9,27,4,0,0,21,3,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,2024,2023,2021,2,05/2024 - 09/2024,Global,SAR,155,"All other regions (78), Thimphu/Paro (77)","Manufacturing (69), Services (86)",9,1,0,3,1,0,8,4,0,0,1,0,4,10,5,5,0,0,0,0,0,15,3,0,4,3,1,12,1,10,1,0,0,1,0,17,23,1,3,2,1,0,0,0,0,0,0,6,0,0
Bolivia,2006,2005,2002,3,4/2006 - 8/2006,Global,LAC,613,"Cochabamba (145), La Paz (278), Santa Cruz (190)","Chemicals & Chemical Products (58), Food (123), Garments (116), Rest of Universe (193), Retail (123)",123,0,0,3,116,1,0,0,0,0,58,0,21,19,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247
Bolivia,2010,2009,2007,3,4/2010 - 4/2011,Global,LAC,362,"Cochabamba (69), La Paz (167), Santa Cruz (126)","Manufacturing (159), Other Services (147), Retail (56)",50,0,1,14,9,4,6,4,17,2,10,0,10,15,1,6,1,4,0,2,0,2,1,0,0,15,0,17,53,56,10,1,2,5,6,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,2017,2016,2014,3,01/2017 - 06/2017,Global,LAC,364,"Cochabamba (121), La Paz (122), Santa Cruz (121)","Manufacturing (118), Other Services (158), Retail (88)",27,0,1,3,9,3,5,3,15,0,11,0,7,8,1,14,0,3,5,1,0,2,0,0,0,17,0,31,51,88,13,0,0,5,12,20,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,2002,2001,1998/1999,1,,Not Global,,119,Bosnia and Herzegovina (119),"Manufacturing (55), Services (64)",19,0,1,0,4,0,5,3,2,0,0,0,0,4,3,2,1,5,2,0,0,3,1,0,0,11,0,8,18,7,7,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,2005,2004,2002,5,,Not Global,,159,"Central (58), East (17), North (53), South (26), West (5)","Manufacturing (67), Services (92)",21,0,3,2,1,1,4,0,6,0,2,0,5,3,1,6,0,5,0,0,0,6,0,1,0,15,0,5,24,22,6,0,0,3,2,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,2009,2007,2004,4,9/2008 - 3/2009,Global,ECA,361,"Bosnia (99), Herzegovina (35), Republic of Serbia (139), Sarajevo (88)","Manufacturing (126), Other Services (132), Retail (103)",20,0,1,4,3,5,24,0,8,1,4,0,5,9,3,21,0,2,5,3,0,6,1,1,0,38,0,11,42,102,14,0,0,5,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bosnia and Herzegovina,2013,2011,2009,5,11/2012 - 10/2013,Global,ECA,360,"Bosnia Region (106), Distrikt Brcko (47), Herzegovina  Region (41), Republika Srpska (107), Sarajevo Region (59)","Manufacturing (117), Other Services (128), Retail (115)",14,0,0,3,8,3,25,4,3,0,2,0,10,5,2,19,0,4,4,1,0,8,0,2,0,28,0,17,46,115,19,0,0,4,2,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,2019,2018,2016,3,01/2019 - 09/2019,Global,ECA,362,"Bosnia & Hercegovina Region (128), Republika Srpska & Distrikt Brcko (120), Sarajevo Region (114)","Manufacturing (134), Other Services (135), Retail (93)",25,0,0,1,4,5,18,3,6,1,3,0,11,7,3,20,0,3,7,0,0,17,0,0,0,33,0,29,33,93,15,0,0,1,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,2023,2022/2023,2020/2021,3,05/2023 - 12/2023,Global,ECA,351,"Br?ko District (70), Federation of Bosnia and Herzegovina (149), Republic of Srpska (132)","Manufacturing (131), Other Services (130), Retail (90)",29,1,0,1,8,9,18,5,1,1,2,2,7,6,4,10,1,3,4,1,0,11,5,2,12,10,18,8,37,90,11,0,0,6,1,3,6,1,1,7,4,1,1,0,1,0,1,0,1,0
Botswana,2006,2005,2002,2,5/2006 - 6/2006,Global,AFR,342,"Francistown (53), Gaborone (289)","Food (12), Garments (21), Other Manufacturing (81), Other Services (116), Retail (112)",12,0,0,5,21,0,3,6,4,0,10,0,2,20,3,4,0,2,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228
Botswana,2010,2009,2007,2,6/2010 - 10/2010,Global,AFR,268,"Francistown (35), Gaborone (233)","Manufacturing (85), Other Services (98), Retail (85)",9,0,0,11,8,0,4,1,10,0,6,0,3,5,3,11,0,5,0,1,0,8,0,0,0,30,0,18,18,85,7,0,0,1,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,1
Botswana,2023,2022/2023,2020/2021,2,05/2023 - 10/2023,Global,AFR,622,"Other Districts (295), South-East District (327)","Food (50), Hotels (99), Other Manufacturing (113), Other Services (201), Retail (159)",50,0,0,5,18,0,0,4,12,0,10,0,4,16,4,9,0,6,2,1,1,8,5,8,27,12,31,40,37,159,7,0,1,2,0,99,13,1,0,2,12,1,4,0,2,1,0,4,4,0
